100 9900
1 2 41
1 3 18467
1 4 6334
1 5 26500
1 6 19169
1 7 15724
1 8 11478
1 9 29358
1 10 26962
1 11 24464
1 12 5705
1 13 28145
1 14 23281
1 15 16827
1 16 9961
1 17 491
1 18 2995
1 19 11942
1 20 4827
1 21 5436
1 22 32391
1 23 14604
1 24 3902
1 25 153
1 26 292
1 27 12382
1 28 17421
1 29 18716
1 30 19718
1 31 19895
1 32 5447
1 33 21726
1 34 14771
1 35 11538
1 36 1869
1 37 19912
1 38 25667
1 39 26299
1 40 17035
1 41 9894
1 42 28703
1 43 23811
1 44 31322
1 45 30333
1 46 17673
1 47 4664
1 48 15141
1 49 7711
1 50 28253
1 51 6868
1 52 25547
1 53 27644
1 54 32662
1 55 32757
1 56 20037
1 57 12859
1 58 8723
1 59 9741
1 60 27529
1 61 778
1 62 12316
1 63 3035
1 64 22190
1 65 1842
1 66 288
1 67 30106
1 68 9040
1 69 8942
1 70 19264
1 71 22648
1 72 27446
1 73 23805
1 74 15890
1 75 6729
1 76 24370
1 77 15350
1 78 15006
1 79 31101
1 80 24393
1 81 3548
1 82 19629
1 83 12623
1 84 24084
1 85 19954
1 86 18756
1 87 11840
1 88 4966
1 89 7376
1 90 13931
1 91 26308
1 92 16944
1 93 32439
1 94 24626
1 95 11323
1 96 5537
1 97 21538
1 98 16118
1 99 2082
1 100 22929
2 1 16541
2 3 4833
2 4 31115
2 5 4639
2 6 29658
2 7 22704
2 8 9930
2 9 13977
2 10 2306
2 11 31673
2 12 22386
2 13 5021
2 14 28745
2 15 26924
2 16 19072
2 17 6270
2 18 5829
2 19 26777
2 20 15573
2 21 5097
2 22 16512
2 23 23986
2 24 13290
2 25 9161
2 26 18636
2 27 22355
2 28 24767
2 29 23655
2 30 15574
2 31 4031
2 32 12052
2 33 27350
2 34 1150
2 35 16941
2 36 21724
2 37 13966
2 38 3430
2 39 31107
2 40 30191
2 41 18007
2 42 11337
2 43 15457
2 44 12287
2 45 27753
2 46 10383
2 47 14945
2 48 8909
2 49 32209
2 50 9758
2 51 24221
2 52 18588
2 53 6422
2 54 24946
2 55 27506
2 56 13030
2 57 16413
2 58 29168
2 59 900
2 60 32591
2 61 18762
2 62 1655
2 63 17410
2 64 6359
2 65 27624
2 66 20537
2 67 21548
2 68 6483
2 69 27595
2 70 4041
2 71 3602
2 72 24350
2 73 10291
2 74 30836
2 75 9374
2 76 11020
2 77 4596
2 78 24021
2 79 27348
2 80 23199
2 81 19668
2 82 24484
2 83 8281
2 84 4734
2 85 53
2 86 1999
2 87 26418
2 88 27938
2 89 6900
2 90 3788
2 91 18127
2 92 467
2 93 3728
2 94 14893
2 95 24648
2 96 22483
2 97 17807
2 98 2421
2 99 14310
2 100 6617
3 1 22813
3 2 9514
3 4 14309
3 5 7616
3 6 18935
3 7 17451
3 8 20600
3 9 5249
3 10 16519
3 11 31556
3 12 22798
3 13 30303
3 14 6224
3 15 11008
3 16 5844
3 17 32609
3 18 14989
3 19 32702
3 20 3195
3 21 20485
3 22 3093
3 23 14343
3 24 30523
3 25 1587
3 26 29314
3 27 9503
3 28 7448
3 29 25200
3 30 13458
3 31 6618
3 32 20580
3 33 19796
3 34 14798
3 35 15281
3 36 19589
3 37 20798
3 38 28009
3 39 27157
3 40 20472
3 41 23622
3 42 18538
3 43 12292
3 44 6038
3 45 24179
3 46 18190
3 47 29657
3 48 7958
3 49 6191
3 50 19815
3 51 22888
3 52 19156
3 53 11511
3 54 16202
3 55 2634
3 56 24272
3 57 20055
3 58 20328
3 59 22646
3 60 26362
3 61 4886
3 62 18875
3 63 28433
3 64 29869
3 65 20142
3 66 23844
3 67 1416
3 68 21881
3 69 31998
3 70 10322
3 71 18651
3 72 10021
3 73 5699
3 74 3557
3 75 28476
3 76 27892
3 77 24389
3 78 5075
3 79 10712
3 80 2600
3 81 2510
3 82 21003
3 83 26869
3 84 17861
3 85 14688
3 86 13401
3 87 9789
3 88 15255
3 89 16423
3 90 5002
3 91 10585
3 92 24182
3 93 10285
3 94 27088
3 95 31426
3 96 28617
3 97 23757
3 98 9832
3 99 30932
3 100 4169
4 1 2154
4 2 25721
4 3 17189
4 5 19976
4 6 31329
4 7 2368
4 8 28692
4 9 21425
4 10 10555
4 11 3434
4 12 16549
4 13 7441
4 14 9512
4 15 30145
4 16 18060
4 17 21718
4 18 3753
4 19 16139
4 20 12423
4 21 16279
4 22 25996
4 23 16687
4 24 12529
4 25 22549
4 26 17437
4 27 19866
4 28 12949
4 29 193
4 30 23195
4 31 3297
4 32 20416
4 33 28286
4 34 16105
4 35 24488
4 36 16282
4 37 12455
4 38 25734
4 39 18114
4 40 11701
4 41 31316
4 42 20671
4 43 5786
4 44 12263
4 45 4313
4 46 24355
4 47 31185
4 48 20053
4 49 912
4 50 10808
4 51 1832
4 52 20945
4 53 4313
4 54 27756
4 55 28321
4 56 19558
4 57 23646
4 58 27982
4 59 481
4 60 4144
4 61 23196
4 62 20222
4 63 7129
4 64 2161
4 65 5535
4 66 20450
4 67 11173
4 68 10466
4 69 12044
4 70 21659
4 71 26292
4 72 26439
4 73 17253
4 74 20024
4 75 26154
4 76 29510
4 77 4745
4 78 20649
4 79 13186
4 80 8313
4 81 4474
4 82 28022
4 83 2168
4 84 14018
4 85 18787
4 86 9905
4 87 17958
4 88 7391
4 89 10202
4 90 3625
4 91 26477
4 92 4414
4 93 9314
4 94 25824
4 95 29334
4 96 25874
4 97 24372
4 98 20159
4 99 11833
4 100 28070
5 1 7487
5 2 28297
5 3 7518
5 4 8177
5 6 17773
5 7 32270
5 8 1763
5 9 2668
5 10 17192
5 11 13985
5 12 3102
5 13 8480
5 14 29213
5 15 7627
5 16 4802
5 17 4099
5 18 30527
5 19 2625
5 20 1543
5 21 1924
5 22 11023
5 23 29972
5 24 13061
5 25 14181
5 26 31003
5 27 27432
5 28 17505
5 29 27593
5 30 22725
5 31 13031
5 32 8492
5 33 142
5 34 17222
5 35 31286
5 36 13064
5 37 7900
5 38 19187
5 39 8360
5 40 22413
5 41 30974
5 42 14270
5 43 29170
5 44 235
5 45 30833
5 46 19711
5 47 25760
5 48 18896
5 49 4667
5 50 7285
5 51 12550
5 52 140
5 53 13694
5 54 2695
5 55 21624
5 56 28019
5 57 2125
5 58 26576
5 59 21694
5 60 22658
5 61 26302
5 62 17371
5 63 22466
5 64 4678
5 65 22593
5 66 23851
5 67 25484
5 68 1018
5 69 28464
5 70 21119
5 71 23152
5 72 2800
5 73 18087
5 74 31060
5 75 1926
5 76 9010
5 77 4757
5 78 32170
5 79 20315
5 80 9576
5 81 30227
5 82 12043
5 83 22758
5 84 7164
5 85 5109
5 86 7882
5 87 17086
5 88 29565
5 89 3487
5 90 29577
5 91 14474
5 92 2625
5 93 25627
5 94 5629
5 95 31928
5 96 25423
5 97 28520
5 98 6902
5 99 14962
5 100 123
6 1 24596
6 2 3737
6 3 13261
6 4 10195
6 5 32525
6 7 1264
6 8 8260
6 9 6202
6 10 8116
6 11 5030
6 12 20326
6 13 29011
6 14 30771
6 15 6411
6 16 25547
6 17 21153
6 18 21520
6 19 29790
6 20 14924
6 21 30188
6 22 21763
6 23 4940
6 24 20851
6 25 18662
6 26 13829
6 27 30900
6 28 17713
6 29 18958
6 30 17578
6 31 8365
6 32 13007
6 33 11477
6 34 1200
6 35 26058
6 36 6439
6 37 2303
6 38 12760
6 39 19357
6 40 2324
6 41 6477
6 42 5108
6 43 21113
6 44 14887
6 45 19801
6 46 22850
6 47 14460
6 48 22428
6 49 12993
6 50 27384
6 51 19405
6 52 6540
6 53 31111
6 54 28704
6 55 12835
6 56 32356
6 57 6072
6 58 29350
6 59 18823
6 60 14485
6 61 20556
6 62 23216
6 63 1626
6 64 9357
6 65 8526
6 66 13357
6 67 29337
6 68 23271
6 69 23869
6 70 29361
6 71 12896
6 72 13022
6 73 29617
6 74 10112
6 75 12717
6 76 18696
6 77 11585
6 78 24041
6 79 24423
6 80 24129
6 81 24229
6 82 4565
6 83 6559
6 84 8932
6 85 22296
6 86 29855
6 87 12053
6 88 16962
6 89 3584
6 90 29734
6 91 6654
6 92 16972
6 93 21457
6 94 14369
6 95 22532
6 96 2963
6 97 2607
6 98 2483
6 99 911
6 100 11635
7 1 10067
7 2 22848
7 3 4675
7 4 12938
7 5 2223
7 6 22142
7 8 23754
